source_member,sha256,bytes,extension,category,disposition,reason
sources/art/05_export_runtime_candidates/art07_first_batch/map_icon/map_icon_exit.png,17AAA6F9A694B27CB8962AAC8339C6558D1B7D1F455E1872567FA24283A0851B,36059,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/map_icon/map_icon_marker_flag.png,EE5C05ED66F66173A241B5CFC470458AE0C983265CEE2E9C2445CDE83AD84A25,22994,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/map_icon/map_icon_mine.png,E569A257B1F77436468466A15D66856BA01477B7A90EDA433942B4B536354BBC,42839,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/map_icon/map_icon_monster.png,D3612A9B24102986B2E9A52E2F9929F9D854EEE95DC0F0D50DB9864093B4F165,35665,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/map_tile_icon/map_tile_explored.png,00276660501B46B6C4C099D994F3D9A74904C76A33EF99E92209713DECDF22CA,53437,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/map_tile_icon/map_tile_scanned.png,C77D134EB35289CED75E0F14FB997C7005A1ADF005DA75E6E141A68C39937F79,63402,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/map_tile_icon/map_tile_unknown.png,B937168633B65D1B74F83CEDF9FC0F6EB859939D3A5AB4FD6762D5501A96EBED,53549,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/00_baoxiang_kai.png,3A4D3445312B5611B7F9FA9066FBE7FB666C48A074579BE7D303003CC9C0180A,35737,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/01_cheli_zhuangzhi_an.png,FCE7959AE7A20F51707DC29AA16BD35448C26B1E11BE16A4B966E90B2E018F2A,31307,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/02_cheli_zhuangzhi_liang.png,50B4239F76BF654686972C1D6D238F8481B29F7EAA6E0A99E3EBF1E1949146B2,33705,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/03_baoxiang_guan.png,541F72BFA7337FF4B8B23819C5A0188CB59881DAC1FA78307A532DBE66A0DDEE,45111,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/04_shangren_tai.png,56C00AFD49CA374A53C9DC81A7E81883BD97CB0A995747C0108FD45D9B86C07F,77298,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/05_yichang_hexin.png,1AF589B83403E204126CA1F7402158ACC183FB47CEC733B5FE75285505092908,78771,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
sources/art/05_export_runtime_candidates/art07_first_batch/props/06_dici_xianjing.png,F2866600D71DE3658A955CD45002893F48087ECC23D5F4B970419C270D6E6DA5,81169,.png,art_source,registered_exact_duplicate_alias,art/draw baseline deduplicated by SHA-256
