object_sha256,repository_object,extension,media_kind,semantic_family,lifecycle_role,canonical_source_member,alias_count,source_layers,distinct_names,same_name_other_sha_count,runtime_match_count,runtime_paths,base_authority,rights_status,review_status,runtime_admission,semantic_decision,decision_note
2D6989064AC3315B9B122E07901F71F0A86E31184FFE27C532829732D66E7253,sources/base/美术素材/blobs/2d/2d6989064ac3315b9b122e07901f71f0a86e31184ffe27c532829732d66e7253.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zuhe/Zuhe_candidate_047.png,1,10_working,Zuhe_candidate_047.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2DB93755DE894BA51A4E5AC4FD44C6CB8C4C5599133BB8351AD3FC1C559F889A,sources/base/美术素材/blobs/2d/2db93755de894ba51a4e5ac4fd44c6cb8c4c5599133bb8351ad3fc1c559f889a.png,.png,image,actor_animation_source,source_reference,sources/draw/processed/Huanxionggai/05_back_walk_1.png,1,draw_other,05_back_walk_1.png,7,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2DBB12E9DEB380A1C8A0BC39487ED91B06C12F7139D2ED5C9EA97B6BDC369A6A,sources/base/美术素材/blobs/2d/2dbb12e9deb380a1c8a0bc39487ed91b06c12f7139d2ed5c9ea97b6bdc369a6a.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/1/1_candidate_035.png,1,10_working,1_candidate_035.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2DCD2615FFB6CDD7D0802559C6E2CC75949856251ADF83501BA7C717AB466301,sources/base/美术素材/blobs/2d/2dcd2615ffb6cdd7d0802559c6e2cc75949856251adf83501ba7c717ab466301.png,.png,image,actor_animation_source,game_ready_source;processed_source;source_reference,sources/draw/20_processed/characters/mao/frames/09_back_walk_2.png,3,20_processed;30_game_ready;art_other,09_back_walk_2.png,7,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2DD8216700B9A63BED850FA883ECDB326666CDCC1DF3B1A8DCAB423E4EC5E1DA,sources/base/美术素材/blobs/2d/2dd8216700b9a63bed850fa883ecdb326666cdcc1df3b1a8dcab423e4ec5e1da.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/3/3_candidate_024.png,1,10_working,3_candidate_024.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2E09EAD238EE0EF0461191FC8A0005607AA2A6A7215CB9EB81939F231563E7CF,sources/base/美术素材/blobs/2e/2e09ead238ee0ef0461191fc8a0005607aa2a6a7215cb9eb81939f231563e7cf.png,.png,image,uncategorized_image,working_candidate,sources/draw/10_working/candidates/1/1_candidate_028.png,1,10_working,1_candidate_028.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2E3033501F4671AF184666287FEAB0A29E584120E6D3AD17BFCCDCB49641A0E9,sources/base/美术素材/blobs/2e/2e3033501f4671af184666287feab0a29e584120e6d3ad17bfccdcb49641a0e9.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zujian3/Zujian3_candidate_006.png,1,10_working,Zujian3_candidate_006.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2E56CC9649A6C019931D62D0749039ECB2E3986A5CE6B30EAA928C28BB47C73D,sources/base/美术素材/blobs/2e/2e56cc9649a6c019931d62d0749039ecb2e3986a5ce6b30eaa928c28bb47c73d.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zujian2/Zujian2_candidate_012.png,1,10_working,Zujian2_candidate_012.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2EF92773BC0C61F99F02F9655B2564799347F709648EDA21952186E1DFAE945A,sources/base/美术素材/blobs/2e/2ef92773bc0c61f99f02f9655b2564799347f709648eda21952186e1dfae945a.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/3/3_candidate_054.png,1,10_working,3_candidate_054.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2F16BD615FB6904A1FE546458420F213AACB5BC6D182E0966D31F29A0CCE1039,sources/base/美术素材/blobs/2f/2f16bd615fb6904a1fe546458420f213aacb5bc6d182e0966d31f29a0cce1039.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/4/4_candidate_044.png,1,10_working,4_candidate_044.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2F50F2800CC338737A1D4DF2E72A40F427D41C02F62E418FFC61665B5BE95893,sources/base/美术素材/blobs/2f/2f50f2800cc338737a1d4df2e72a40f427d41c02f62e418ffc61665b5be95893.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/4/4_candidate_034.png,1,10_working,4_candidate_034.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2F832C4B4DE0DF4262F82B6F5FA594837FE417B1D8CB19411E610C1B233C22AD,sources/base/美术素材/blobs/2f/2f832c4b4de0df4262f82b6f5fa594837fe417b1d8cb19411e610c1b233c22ad.png,.png,image,actor_animation_source,game_ready_source;processed_source;source_reference,sources/draw/20_processed/characters/tuzi/frames/09_back_walk_2.png,3,20_processed;30_game_ready;art_other,09_back_walk_2.png,7,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2FAA1604C8F583E61E69ADF61329B7EB9BD201B8E229362F3E48C1EEEB1E7799,sources/base/美术素材/blobs/2f/2faa1604c8f583e61e69adf61329b7eb9bd201b8e229362f3e48c1eeeb1e7799.png,.png,image,ui_component,stage_evidence,sources/art/ART-20/03_cut_output/run_hud/run_bottom_key_bar_button/run_bottom_key_bar_button_ui_button_blank_dark.png,1,stage_output,run_bottom_key_bar_button_ui_button_blank_dark.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
2FE6687C3A1DF378CD2CFAD3BAF39A4D5126068113979EBCD385FB3C357F8DA8,sources/base/美术素材/blobs/2f/2fe6687c3a1df378cd2cfad3baf39a4d5126068113979ebcd385fb3c357f8da8.png,.png,image,actor_animation_source,game_ready_source;processed_source;source_reference,sources/draw/20_processed/characters/mao/frames/02_left_idle.png,3,20_processed;30_game_ready;art_other,02_left_idle.png,7,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
3067171D9914B6B4DF7D742479CFA94CC11D533F21B28F2F501F92F07D50393C,sources/base/美术素材/blobs/30/3067171d9914b6b4df7d742479cfa94cc11d533f21b28f2f501f92f07d50393c.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/Zuhe2/Zuhe2_candidate_097.png,1,10_working,Zuhe2_candidate_097.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
309908BC49A303CC3A5D7D448B433F41FBAFB6F5B8517CE9F8525C181554C202,sources/base/美术素材/blobs/30/309908bc49a303cc3a5d7d448b433f41fbafb6f5b8517ce9f8525c181554c202.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/2/2_candidate_023.png,1,10_working,2_candidate_023.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
30BAC2D650CB3231E74758E91D31F1448F92CE851FA7560123CC2DAB1D45EFF6,sources/base/美术素材/blobs/30/30bac2d650cb3231e74758e91d31f1448f92ce851fa7560123cc2dab1d45eff6.png,.png,image,source_composite,working_candidate,sources/draw/10_working/candidates/5/5_candidate_044.png,1,10_working,5_candidate_044.png,0,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
30E288965F1CCA6EF6E0B197F92A0996244C1AD0F522D68F26CCE278088626AD,sources/base/美术素材/blobs/30/30e288965f1cca6ef6e0b197f92a0996244c1ad0f522d68f26cce278088626ad.png,.png,image,iconography,processed_source,sources/draw/20_processed/icons/raw/10_yiqingli_icon.png,1,20_processed,10_yiqingli_icon.png,2,0,,base_source_evidence_only,pending_verification,pending_review,not_admitted,base_reference_only_pending_promotion,Retained as source/reference; not admitted to runtime.
