export_id,candidate_id,export_path,target_runtime_role,target_size,transparent_background,animation_frames,proposed_asset_id,manifest_status,notes
EXP-STG-ART07-0066,CAND-STG-ART07-0066,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_icon\ui_icon_compass.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=016D4065BFBE7CA6406816F6BBA786C31F9D8CC2EACDD637A5257B822582E285;staged_sha256=016D4065BFBE7CA6406816F6BBA786C31F9D8CC2EACDD637A5257B822582E285;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_icon\ui_icon_compass.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0068,CAND-STG-ART07-0068,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_panel\ui_frame_highlight.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D;staged_sha256=6A7B4D2BBC7A87236B11F52BEAA8568477428D86A288D987949EC11F1B5DD95D;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_panel\ui_frame_highlight.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0070,CAND-STG-ART07-0070,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_panel\ui_panel_deploy_main_blank.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=222F475C981FA20063686E3BA1C203A46E04B9B2DBE6C6CDD1C4B5827E9EF525;staged_sha256=222F475C981FA20063686E3BA1C203A46E04B9B2DBE6C6CDD1C4B5827E9EF525;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_panel\ui_panel_deploy_main_blank.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0072,CAND-STG-ART07-0072,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_panel\ui_panel_deploy_summary_blank.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75;staged_sha256=6893538A28D34001C2FFBF52DE811139936CAD2F24954A0588238A67DAEDFE75;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_deploy_panel\ui_panel_deploy_summary_blank.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0074,CAND-STG-ART07-0074,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_panel\ui_panel_terminal_main.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC;staged_sha256=4BB57AC94C797BE82FD9B03B1EB708D87E3FE6CD014AF898A059486DCA6EACBC;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui_panel\ui_panel_terminal_main.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0076,CAND-STG-ART07-0076,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui\icons\jinbi_icon.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=E6ED6B95506EF88CB28E54E4256737D5BEC22396F1B47B9863029E145962D08E;staged_sha256=E6ED6B95506EF88CB28E54E4256737D5BEC22396F1B47B9863029E145962D08E;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui\icons\jinbi_icon.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0078,CAND-STG-ART07-0078,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui\icons\xuetiao_tianchong.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=2B1F1E10F40A7E125C8A056C9F03CA089CC7666587A6B803FA9354E9336AB3E8;staged_sha256=2B1F1E10F40A7E125C8A056C9F03CA089CC7666587A6B803FA9354E9336AB3E8;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\ui\icons\xuetiao_tianchong.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0080,CAND-STG-ART07-0080,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\00_baoxiang_kai.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=3A4D3445312B5611B7F9FA9066FBE7FB666C48A074579BE7D303003CC9C0180A;staged_sha256=3A4D3445312B5611B7F9FA9066FBE7FB666C48A074579BE7D303003CC9C0180A;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\00_baoxiang_kai.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0082,CAND-STG-ART07-0082,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\01_cheli_zhuangzhi_an.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=FCE7959AE7A20F51707DC29AA16BD35448C26B1E11BE16A4B966E90B2E018F2A;staged_sha256=FCE7959AE7A20F51707DC29AA16BD35448C26B1E11BE16A4B966E90B2E018F2A;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\01_cheli_zhuangzhi_an.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
EXP-STG-ART07-0084,CAND-STG-ART07-0084,D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\02_cheli_zhuangzhi_liang.png,runtime_candidate,pending_spec,pending_verification,pending_verification,pending_intended_asset_id,not_ready,source_sha256=50B4239F76BF654686972C1D6D238F8481B29F7EAA6E0A99E3EBF1E1949146B2;staged_sha256=50B4239F76BF654686972C1D6D238F8481B29F7EAA6E0A99E3EBF1E1949146B2;staged_path=D:\AGAME1\Base Art\05_export_runtime_candidates\art07_first_batch\props\02_cheli_zhuangzhi_liang.png;role=runtime_candidate;runtime_import_status=not_ready;art_stage=ART07;copy_action=copied
